,Company,Layoff Status_x,No. of Employees_x,No. of Employees_y,Layoff Status_y,No. of Employees
416,Safeway,Closure Permanent,149,149,Closure Permanent,149
417,Safran Cabin,Closure Permanent,281,281,Closure Permanent,281
418,Sakata Seed America,Closure Permanent,36,36,Closure Permanent,36
419,Salesforce,Layoff Permanent,51,51,Layoff Permanent,51
420,San Diego Imaging Management,Layoff Permanent,52,52,Layoff Permanent,52
421,Sangamo Therapeutics,Closure Permanent,65,102,Closure Permanent,65
422,Sangamo Therapeutics,Closure Permanent,65,102,Layoff Permanent,37
423,Sangamo Therapeutics,Layoff Permanent,37,102,Closure Permanent,65
424,Sangamo Therapeutics,Layoff Permanent,37,102,Layoff Permanent,37
425,Sanofi,Closure Permanent,100,100,Closure Permanent,100
426,Scenario-Cockram USA,Layoff Permanent,53,53,Layoff Permanent,53
427,Scripps Health,Layoff Permanent,147,147,Layoff Permanent,147
428,Sega of America,Layoff Permanent,76,76,Layoff Permanent,76
429,Shadow Holdings,Layoff Permanent,60,60,Layoff Permanent,60
430,Shaw Industries Group,Closure Permanent,283,283,Closure Permanent,283
431,Shift Technologies,Closure Permanent,78,78,Closure Permanent,78
432,Silgan Containers Manufacturing Corporation,Closure Permanent,64,64,Closure Permanent,64
433,Snap Inc.,Layoff Permanent,174,174,Layoff Permanent,174
434,SoCal Pizza Holdings,Layoff Permanent,130,130,Layoff Permanent,130
435,SoCal South OC,Layoff Permanent,25,25,Layoff Permanent,25
436,Sober Living by the Sea,Closure Permanent,65,65,Closure Permanent,65
437,"Sodexo, Inc.",Layoff Permanent,68,68,Layoff Permanent,68
438,Solidigm,Layoff Permanent,270,270,Layoff Permanent,270
439,Sonoco,Closure Permanent,292,292,Closure Permanent,292
440,Sony,Layoff Permanent,118,118,Layoff Permanent,118
441,Sorrento Therapeutics,Layoff Permanent,77,77,Layoff Permanent,77
442,South Coast Baking,Closure Permanent,85,85,Closure Permanent,85
443,Southern California Pizza Company,Layoff Permanent,686,686,Layoff Permanent,686
444,Southern Counties Express,Layoff Permanent,43,43,Layoff Permanent,43
445,Spencer Construction,Layoff Permanent,105,105,Layoff Permanent,105
446,Splash Cafe,Closure Permanent,29,29,Closure Permanent,29
447,Splunk Inc.,Layoff Permanent,176,176,Layoff Permanent,176
448,Spotify,Layoff Permanent,112,112,Layoff Permanent,112
449,St James Infirmary,Closure Permanent,71,71,Closure Permanent,71
450,St. John of God Health Care Services,Layoff Permanent,27,27,Layoff Permanent,27
451,St. Vincent de Paul High School,Closure Permanent,68,68,Closure Permanent,68
452,Stanislaus Surgical Hospital,Closure Temporary,191,191,Closure Temporary,191
453,Steelcase Inc.,Closure Permanent,40,40,Closure Permanent,40
454,Stir Foods,Closure Permanent,87,87,Closure Permanent,87
455,Sugar Foods,Closure Permanent,72,72,Closure Permanent,72
456,Sumo Logic,Layoff Permanent,79,79,Layoff Permanent,79
457,Sunrise Growers Inc.,Closure Permanent,34,34,Closure Permanent,34
458,Sunrun Inc.,Layoff Permanent,22,22,Layoff Permanent,22
459,Surefox North America Inc,Layoff Permanent,386,386,Layoff Permanent,386
460,Surgalign Spine Technologies,Closure Permanent,99,99,Closure Permanent,99
461,Syngenta Seeds,Closure Permanent,56,56,Closure Permanent,56
462,T. Hasegawa U.S.A.,Closure Permanent,13,13,Closure Permanent,13
463,TAO Group Hospitality,Layoff Permanent,10,10,Layoff Permanent,10
464,TCWGlobal,Closure Permanent,88,88,Closure Permanent,88
465,TE Connectivity,Closure Permanent,119,119,Closure Permanent,119
466,TIDAL,Layoff Permanent,1,1,Layoff Permanent,1
467,TMG Hotel,Closure Permanent,144,144,Closure Permanent,144
468,TTM Technologies,Closure Permanent,342,342,Closure Permanent,342
469,"TVT Trucking, Inc",Closure Permanent,142,142,Closure Permanent,142
470,Talis Biomedical Corporation,Closure Permanent,103,103,Closure Permanent,103
471,Target,Closure Permanent,238,238,Closure Permanent,238
472,Tattooed Chef,Closure Permanent,20,20,Closure Permanent,20
473,Technical Consumer Products,Closure Permanent,11,11,Closure Permanent,11
474,Telecare Corporation,Closure Permanent,100,100,Closure Permanent,100
475,Temple Nightclub,Closure Permanent,86,86,Closure Permanent,86
476,Tempo Automation Holdings,Closure Permanent,58,58,Closure Permanent,58
477,Terre du Soleil,Layoff Temporary,217,217,Layoff Temporary,217
478,The Apothecarium,Closure Permanent,7,7,Closure Permanent,7
479,The Boeing Company,Layoff Permanent,91,91,Layoff Permanent,91
480,The Dog,Closure Permanent,5,5,Closure Permanent,5
